"","NRMSE","PFC"
"1",0.109198670676475,0.386666666666667
"2",0.113312263030154,0.366666666666667
"3",0.099991643660063,0.433333333333333
"4",0.0926562466050045,0.366666666666667
"5",0.111582109977158,0.42
"6",0.0862626413642584,0.413333333333333
"7",0.105389793193308,0.413333333333333
"8",0.101927807739413,0.393333333333333
"9",0.124843493341023,0.34
"10",0.0977693083259158,0.366666666666667
"11",0.0962150719899441,0.346666666666667
"12",0.104638046798176,0.426666666666667
"13",0.101646146290839,0.426666666666667
"14",0.116845060224614,0.426666666666667
"15",0.0853320651188003,0.36
"16",0.098931013834611,0.4
"17",0.0998586923946144,0.38
"18",0.132026487542627,0.466666666666667
"19",0.107921161078581,0.373333333333333
"20",0.100550946588037,0.386666666666667
"21",0.117132281619914,0.42
"22",0.103938798788456,0.426666666666667
"23",0.105117196057695,0.4
"24",0.110258721895044,0.366666666666667
"25",0.104585296025384,0.333333333333333
"26",0.0944352047818314,0.406666666666667
"27",0.106414822102271,0.48
"28",0.104337215099625,0.406666666666667
"29",0.119538724610179,0.4
"30",0.10154226122572,0.36
"31",0.0825270089554638,0.44
"32",0.114910824131464,0.46
"33",0.110817698222847,0.4
"34",0.109108942449425,0.373333333333333
"35",0.0914460237127223,0.386666666666667
"36",0.118036705714575,0.38
"37",0.0936843070719418,0.36
"38",0.101089405376084,0.413333333333333
"39",0.117248396490115,0.36
"40",0.0995375595612501,0.38
"41",0.112637714914072,0.386666666666667
"42",0.102586832964795,0.38
"43",0.103472589025712,0.413333333333333
"44",0.11302931350061,0.32
"45",0.111839740212792,0.373333333333333
"46",0.11254202246962,0.373333333333333
"47",0.0897954237248511,0.406666666666667
"48",0.112645610531411,0.4
"49",0.109803618557342,0.42
"50",0.112954065984349,0.406666666666667
